KIND:prc
UNITS:mm
INTERVAL:qm
LOCATION:er
# file created: 2018-05-16 21:38:17
#YYYY-MM,      Q1,         Q2,       Q3,        Q4
1910-04,      1.02,      0.98,      0.98,      0.99
1910-05,      0.98,      0.97,      0.98,      0.99
1910-06,      0.98,      0.99,      1.00,      1.02
1910-07,      1.03,      1.03,      1.04,      1.04
1910-08,      1.05,      1.04,      1.05,      1.04
1910-09,      1.04,      1.03,      1.03,      1.02
1910-10,      1.00,      1.00,      0.99,      0.99
1910-11,      0.98,      0.98,      0.97,      0.97
1910-12,      0.96,      0.99,      1.02,      1.06
1911-01,      1.23,      1.56,      1.68,      1.67
1911-02,      1.78,      1.83,      1.74,      1.66
1911-03,      1.60,      1.49,      1.33,      1.13
1911-04,      1.02,      0.98,      0.98,      0.99
1911-05,      0.98,      0.97,      0.98,      0.99
1911-06,      0.98,      0.99,      1.00,      1.02
1911-07,      1.03,      1.03,      1.04,      1.04
1911-08,      1.05,      1.04,      1.05,      1.04
1911-09,      1.04,      1.03,      1.03,      1.02
1911-10,      1.00,      1.00,      0.99,      0.99
1911-11,      0.98,      0.98,      0.97,      0.97
1911-12,      0.96,      0.99,      1.02,      1.06
1912-01,      1.23,      1.56,      1.68,      1.67
1912-02,      1.78,      1.83,      1.74,      1.66
1912-03,      1.60,      1.49,      1.33,      1.13
1912-04,      1.02,      0.98,      0.98,      0.99
1912-05,      0.98,      0.97,      0.98,      0.99
1912-06,      0.98,      0.99,      1.00,      1.02
1912-07,      1.03,      1.03,      1.04,      1.04
1912-08,      1.05,      1.04,      1.05,      1.04
1912-09,      1.04,      1.03,      1.03,      1.02
1912-10,      1.00,      1.00,      0.99,      0.99
1912-11,      0.98,      0.98,      0.97,      0.97
1912-12,      0.96,      0.99,      1.02,      1.06
1913-01,      1.23,      1.56,      1.68,      1.67
1913-02,      1.78,      1.83,      1.74,      1.66
1913-03,      1.60,      1.49,      1.33,      1.13
1913-04,      1.02,      0.98,      0.98,      0.99
1913-05,      0.98,      0.97,      0.98,      0.99
1913-06,      0.98,      0.99,      1.00,      1.02
1913-07,      1.03,      1.03,      1.04,      1.04
1913-08,      1.05,      1.04,      1.05,      1.04
1913-09,      1.04,      1.03,      1.03,      1.02
1913-10,      1.00,      1.00,      0.99,      0.99
1913-11,      0.98,      0.98,      0.97,      0.97
1913-12,      0.96,      0.99,      1.02,      1.06
1914-01,      1.23,      1.56,      1.68,      1.67
1914-02,      1.78,      1.83,      1.74,      1.66
1914-03,      1.60,      1.49,      1.33,      1.13
1914-04,      1.02,      0.98,      0.98,      0.99
1914-05,      0.98,      0.97,      0.98,      0.99
1914-06,      0.98,      0.99,      1.00,      1.02
1914-07,      1.03,      1.03,      1.04,      1.04
1914-08,      1.05,      1.04,      1.05,      1.04
1914-09,      1.04,      1.03,      1.03,      1.02
1914-10,      1.00,      1.00,      0.99,      0.99
1914-11,      0.98,      0.98,      0.97,      0.97
1914-12,      0.96,      0.99,      1.02,      1.06
1915-01,      1.23,      1.56,      1.68,      1.67
1915-02,      1.78,      1.83,      1.74,      1.66
1915-03,      1.60,      1.49,      1.33,      1.13
1915-04,      1.02,      0.98,      0.98,      0.99
1915-05,      0.98,      0.97,      0.98,      0.99
1915-06,      0.98,      0.99,      1.00,      1.02
1915-07,      1.03,      1.03,      1.04,      1.04
1915-08,      1.05,      1.04,      1.05,      1.04
1915-09,      1.04,      1.03,      1.03,      1.02
1915-10,      1.00,      1.00,      0.99,      0.99
1915-11,      0.98,      0.98,      0.97,      0.97
1915-12,      0.96,      0.99,      1.02,      1.06
1916-01,      1.23,      1.56,      1.68,      1.67
1916-02,      1.78,      1.83,      1.74,      1.66
1916-03,      1.60,      1.49,      1.33,      1.13
1916-04,      1.02,      0.98,      0.98,      0.99
1916-05,      0.98,      0.97,      0.98,      0.99
1916-06,      0.98,      0.99,      1.00,      1.02
1916-07,      1.03,      1.03,      1.04,      1.04
1916-08,      1.05,      1.04,      1.05,      1.04
1916-09,      1.04,      1.03,      1.03,      1.02
1916-10,      1.00,      1.00,      0.99,      0.99
1916-11,      0.98,      0.98,      0.97,      0.97
1916-12,      0.96,      0.99,      1.02,      1.06
1917-01,      1.23,      1.56,      1.68,      1.67
1917-02,      1.78,      1.83,      1.74,      1.66
1917-03,      1.60,      1.49,      1.33,      1.13
1917-04,      1.02,      0.98,      0.98,      0.99
1917-05,      0.98,      0.97,      0.98,      0.99
1917-06,      0.98,      0.99,      1.00,      1.02
1917-07,      1.03,      1.03,      1.04,      1.04
1917-08,      1.05,      1.04,      1.05,      1.04
1917-09,      1.04,      1.03,      1.03,      1.02
1917-10,      1.00,      1.00,      0.99,      0.99
1917-11,      0.98,      0.98,      0.97,      0.97
1917-12,      0.96,      0.99,      1.02,      1.06
1918-01,      1.23,      1.56,      1.68,      1.67
1918-02,      1.78,      1.83,      1.74,      1.66
1918-03,      1.60,      1.49,      1.33,      1.13
1918-04,      1.02,      0.98,      0.98,      0.99
1918-05,      0.98,      0.97,      0.98,      0.99
1918-06,      0.98,      0.99,      1.00,      1.02
1918-07,      1.03,      1.03,      1.04,      1.04
1918-08,      1.05,      1.04,      1.05,      1.04
1918-09,      1.04,      1.03,      1.03,      1.02
1918-10,      1.00,      1.00,      0.99,      0.99
1918-11,      0.98,      0.98,      0.97,      0.97
1918-12,      0.96,      0.99,      1.02,      1.06
1919-01,      1.23,      1.56,      1.68,      1.67
1919-02,      1.78,      1.83,      1.74,      1.66
1919-03,      1.60,      1.49,      1.33,      1.13
1919-04,      1.02,      0.98,      0.98,      0.99
1919-05,      0.98,      0.97,      0.98,      0.99
1919-06,      0.98,      0.99,      1.00,      1.02
1919-07,      1.03,      1.03,      1.04,      1.04
1919-08,      1.05,      1.04,      1.05,      1.04
1919-09,      1.04,      1.03,      1.03,      1.02
1919-10,      1.00,      1.00,      0.99,      0.99
1919-11,      0.98,      0.98,      0.97,      0.97
1919-12,      0.96,      0.99,      1.02,      1.06
1920-01,      1.23,      1.56,      1.68,      1.67
1920-02,      1.78,      1.83,      1.74,      1.66
1920-03,      1.60,      1.49,      1.33,      1.13
1920-04,      1.02,      0.98,      0.98,      0.99
1920-05,      0.98,      0.97,      0.98,      0.99
1920-06,      0.98,      0.99,      1.00,      1.02
1920-07,      1.03,      1.03,      1.04,      1.04
1920-08,      1.05,      1.04,      1.05,      1.04
1920-09,      1.04,      1.03,      1.03,      1.02
1920-10,      1.00,      1.00,      0.99,      0.99
1920-11,      0.98,      0.98,      0.97,      0.97
1920-12,      0.96,      0.99,      1.02,      1.06
1921-01,      1.23,      1.56,      1.68,      1.67
1921-02,      1.78,      1.83,      1.74,      1.66
1921-03,      1.60,      1.49,      1.33,      1.13
1921-04,      1.02,      0.98,      0.98,      0.99
1921-05,      0.98,      0.97,      0.98,      0.99
1921-06,      0.98,      0.99,      1.00,      1.02
1921-07,      1.03,      1.03,      1.04,      1.04
1921-08,      1.05,      1.04,      1.05,      1.04
1921-09,      1.04,      1.03,      1.03,      1.02
1921-10,      1.00,      1.00,      0.99,      0.99
1921-11,      0.98,      0.98,      0.97,      0.97
1921-12,      0.96,      0.99,      1.02,      1.06
1922-01,      1.23,      1.56,      1.68,      1.67
1922-02,      1.78,      1.83,      1.74,      1.66
1922-03,      1.60,      1.49,      1.33,      1.13
1922-04,      1.02,      0.98,      0.98,      0.99
1922-05,      0.98,      0.97,      0.98,      0.99
1922-06,      0.98,      0.99,      1.00,      1.02
1922-07,      1.03,      1.03,      1.04,      1.04
1922-08,      1.05,      1.04,      1.05,      1.04
1922-09,      1.04,      1.03,      1.03,      1.02
1922-10,      1.00,      1.00,      0.99,      0.99
1922-11,      0.98,      0.98,      0.97,      0.97
1922-12,      0.96,      0.99,      1.02,      1.06
1923-01,      1.23,      1.56,      1.68,      1.67
1923-02,      1.78,      1.83,      1.74,      1.66
1923-03,      1.60,      1.49,      1.33,      1.13
1923-04,      1.02,      0.98,      0.98,      0.99
1923-05,      0.98,      0.97,      0.98,      0.99
1923-06,      0.98,      0.99,      1.00,      1.02
1923-07,      1.03,      1.03,      1.04,      1.04
1923-08,      1.05,      1.04,      1.05,      1.04
1923-09,      1.04,      1.03,      1.03,      1.02
1923-10,      1.00,      1.00,      0.99,      0.99
1923-11,      0.98,      0.98,      0.97,      0.97
1923-12,      0.96,      0.99,      1.02,      1.06
1924-01,      1.23,      1.56,      1.68,      1.67
1924-02,      1.78,      1.83,      1.74,      1.66
1924-03,      1.60,      1.49,      1.33,      1.13
1924-04,      1.02,      0.98,      0.98,      0.99
1924-05,      0.98,      0.97,      0.98,      0.99
1924-06,      0.98,      0.99,      1.00,      1.02
1924-07,      1.03,      1.03,      1.04,      1.04
1924-08,      1.05,      1.04,      1.05,      1.04
1924-09,      1.04,      1.03,      1.03,      1.02
1924-10,      1.00,      1.00,      0.99,      0.99
1924-11,      0.98,      0.98,      0.97,      0.97
1924-12,      0.96,      0.99,      1.02,      1.06
1925-01,      1.23,      1.56,      1.68,      1.67
1925-02,      1.78,      1.83,      1.74,      1.66
1925-03,      1.60,      1.49,      1.33,      1.13
1925-04,      1.02,      0.98,      0.98,      0.99
1925-05,      0.98,      0.97,      0.98,      0.99
1925-06,      0.98,      0.99,      1.00,      1.02
1925-07,      1.03,      1.03,      1.04,      1.04
1925-08,      1.05,      1.04,      1.05,      1.04
1925-09,      1.04,      1.03,      1.03,      1.02
1925-10,      1.00,      1.00,      0.99,      0.99
1925-11,      0.98,      0.98,      0.97,      0.97
1925-12,      0.96,      0.99,      1.02,      1.06
1926-01,      1.23,      1.56,      1.68,      1.67
1926-02,      1.78,      1.83,      1.74,      1.66
1926-03,      1.60,      1.49,      1.33,      1.13
1926-04,      1.02,      0.98,      0.98,      0.99
1926-05,      0.98,      0.97,      0.98,      0.99
1926-06,      0.98,      0.99,      1.00,      1.02
1926-07,      1.03,      1.03,      1.04,      1.04
1926-08,      1.05,      1.04,      1.05,      1.04
1926-09,      1.04,      1.03,      1.03,      1.02
1926-10,      1.00,      1.00,      0.99,      0.99
1926-11,      0.98,      0.98,      0.97,      0.97
1926-12,      0.96,      0.99,      1.02,      1.06
1927-01,      1.23,      1.56,      1.68,      1.67
1927-02,      1.78,      1.83,      1.74,      1.66
1927-03,      1.60,      1.49,      1.33,      1.13
1927-04,      1.02,      0.98,      0.98,      0.99
1927-05,      0.98,      0.97,      0.98,      0.99
1927-06,      0.98,      0.99,      1.00,      1.02
1927-07,      1.03,      1.03,      1.04,      1.04
1927-08,      1.05,      1.04,      1.05,      1.04
1927-09,      1.04,      1.03,      1.03,      1.02
1927-10,      1.00,      1.00,      0.99,      0.99
1927-11,      0.98,      0.98,      0.97,      0.97
1927-12,      0.96,      0.99,      1.02,      1.06
1928-01,      1.23,      1.56,      1.68,      1.67
1928-02,      1.78,      1.83,      1.74,      1.66
1928-03,      1.60,      1.49,      1.33,      1.13
1928-04,      1.02,      0.98,      0.98,      0.99
1928-05,      0.98,      0.97,      0.98,      0.99
1928-06,      0.98,      0.99,      1.00,      1.02
1928-07,      1.03,      1.03,      1.04,      1.04
1928-08,      1.05,      1.04,      1.05,      1.04
1928-09,      1.04,      1.03,      1.03,      1.02
1928-10,      1.00,      1.00,      0.99,      0.99
1928-11,      0.98,      0.98,      0.97,      0.97
1928-12,      0.96,      0.99,      1.02,      1.06
1929-01,      1.23,      1.56,      1.68,      1.67
1929-02,      1.78,      1.83,      1.74,      1.66
1929-03,      1.60,      1.49,      1.33,      1.13
1929-04,      1.02,      0.98,      0.98,      0.99
1929-05,      0.98,      0.97,      0.98,      0.99
1929-06,      0.98,      0.99,      1.00,      1.02
1929-07,      1.03,      1.03,      1.04,      1.04
1929-08,      1.05,      1.04,      1.05,      1.04
1929-09,      1.04,      1.03,      1.03,      1.02
1929-10,      1.00,      1.00,      0.99,      0.99
1929-11,      0.98,      0.98,      0.97,      0.97
1929-12,      0.96,      0.99,      1.02,      1.06
1930-01,      1.23,      1.56,      1.68,      1.67
1930-02,      1.78,      1.83,      1.74,      1.66
1930-03,      1.60,      1.49,      1.33,      1.13
1930-04,      1.02,      0.98,      0.98,      0.99
1930-05,      0.98,      0.97,      0.98,      0.99
1930-06,      0.98,      0.99,      1.00,      1.02
1930-07,      1.03,      1.03,      1.04,      1.04
1930-08,      1.05,      1.04,      1.05,      1.04
1930-09,      1.04,      1.03,      1.03,      1.02
1930-10,      1.00,      1.00,      0.99,      0.99
1930-11,      0.98,      0.98,      0.97,      0.97
1930-12,      0.96,      0.99,      1.02,      1.06
1931-01,      1.23,      1.56,      1.68,      1.67
1931-02,      1.78,      1.83,      1.74,      1.66
1931-03,      1.60,      1.49,      1.33,      1.13
1931-04,      1.02,      0.98,      0.98,      0.99
1931-05,      0.98,      0.97,      0.98,      0.99
1931-06,      0.98,      0.99,      1.00,      1.02
1931-07,      1.03,      1.03,      1.04,      1.04
1931-08,      1.05,      1.04,      1.05,      1.04
1931-09,      1.04,      1.03,      1.03,      1.02
1931-10,      1.00,      1.00,      0.99,      0.99
1931-11,      0.98,      0.98,      0.97,      0.97
1931-12,      0.96,      0.99,      1.02,      1.06
1932-01,      1.23,      1.56,      1.68,      1.67
1932-02,      1.78,      1.83,      1.74,      1.66
1932-03,      1.60,      1.49,      1.33,      1.13
1932-04,      1.02,      0.98,      0.98,      0.99
1932-05,      0.98,      0.97,      0.98,      0.99
1932-06,      0.98,      0.99,      1.00,      1.02
1932-07,      1.03,      1.03,      1.04,      1.04
1932-08,      1.05,      1.04,      1.05,      1.04
1932-09,      1.04,      1.03,      1.03,      1.02
1932-10,      1.00,      1.00,      0.99,      0.99
1932-11,      0.98,      0.98,      0.97,      0.97
1932-12,      0.96,      0.99,      1.02,      1.06
1933-01,      1.23,      1.56,      1.68,      1.67
1933-02,      1.78,      1.83,      1.74,      1.66
1933-03,      1.60,      1.49,      1.33,      1.13
1933-04,      1.02,      0.98,      0.98,      0.99
1933-05,      0.98,      0.97,      0.98,      0.99
1933-06,      0.98,      0.99,      1.00,      1.02
1933-07,      1.03,      1.03,      1.04,      1.04
1933-08,      1.05,      1.04,      1.05,      1.04
1933-09,      1.04,      1.03,      1.03,      1.02
1933-10,      1.00,      1.00,      0.99,      0.99
1933-11,      0.98,      0.98,      0.97,      0.97
1933-12,      0.96,      0.99,      1.02,      1.06
1934-01,      1.23,      1.56,      1.68,      1.67
1934-02,      1.78,      1.83,      1.74,      1.66
1934-03,      1.60,      1.49,      1.33,      1.13
1934-04,      1.02,      0.98,      0.98,      0.99
1934-05,      0.98,      0.97,      0.98,      0.99
1934-06,      0.98,      0.99,      1.00,      1.02
1934-07,      1.03,      1.03,      1.04,      1.04
1934-08,      1.05,      1.04,      1.05,      1.04
1934-09,      1.04,      1.03,      1.03,      1.02
1934-10,      1.00,      1.00,      0.99,      0.99
1934-11,      0.98,      0.98,      0.97,      0.97
1934-12,      0.96,      0.99,      1.02,      1.06
1935-01,      1.23,      1.56,      1.68,      1.67
1935-02,      1.78,      1.83,      1.74,      1.66
1935-03,      1.60,      1.49,      1.33,      1.13
1935-04,      1.02,      0.98,      0.98,      0.99
1935-05,      0.98,      0.97,      0.98,      0.99
1935-06,      0.98,      0.99,      1.00,      1.02
1935-07,      1.03,      1.03,      1.04,      1.04
1935-08,      1.05,      1.04,      1.05,      1.04
1935-09,      1.04,      1.03,      1.03,      1.02
1935-10,      1.00,      1.00,      0.99,      0.99
1935-11,      0.98,      0.98,      0.97,      0.97
1935-12,      0.96,      0.99,      1.02,      1.06
1936-01,      1.23,      1.56,      1.68,      1.67
1936-02,      1.78,      1.83,      1.74,      1.66
1936-03,      1.60,      1.49,      1.33,      1.13
1936-04,      1.02,      0.98,      0.98,      0.99
1936-05,      0.98,      0.97,      0.98,      0.99
1936-06,      0.98,      0.99,      1.00,      1.02
1936-07,      1.03,      1.03,      1.04,      1.04
1936-08,      1.05,      1.04,      1.05,      1.04
1936-09,      1.04,      1.03,      1.03,      1.02
1936-10,      1.00,      1.00,      0.99,      0.99
1936-11,      0.98,      0.98,      0.97,      0.97
1936-12,      0.96,      0.99,      1.02,      1.06
1937-01,      1.23,      1.56,      1.68,      1.67
1937-02,      1.78,      1.83,      1.74,      1.66
1937-03,      1.60,      1.49,      1.33,      1.13
1937-04,      1.02,      0.98,      0.98,      0.99
1937-05,      0.98,      0.97,      0.98,      0.99
1937-06,      0.98,      0.99,      1.00,      1.02
1937-07,      1.03,      1.03,      1.04,      1.04
1937-08,      1.05,      1.04,      1.05,      1.04
1937-09,      1.04,      1.03,      1.03,      1.02
1937-10,      1.00,      1.00,      0.99,      0.99
1937-11,      0.98,      0.98,      0.97,      0.97
1937-12,      0.96,      0.99,      1.02,      1.06
1938-01,      1.23,      1.56,      1.68,      1.67
1938-02,      1.78,      1.83,      1.74,      1.66
1938-03,      1.60,      1.49,      1.33,      1.13
1938-04,      1.02,      0.98,      0.98,      0.99
1938-05,      0.98,      0.97,      0.98,      0.99
1938-06,      0.98,      0.99,      1.00,      1.02
1938-07,      1.03,      1.03,      1.04,      1.04
1938-08,      1.05,      1.04,      1.05,      1.04
1938-09,      1.04,      1.03,      1.03,      1.02
1938-10,      1.00,      1.00,      0.99,      0.99
1938-11,      0.98,      0.98,      0.97,      0.97
1938-12,      0.96,      0.99,      1.02,      1.06
1939-01,      1.23,      1.56,      1.68,      1.67
1939-02,      1.78,      1.83,      1.74,      1.66
1939-03,      1.60,      1.49,      1.33,      1.13
1939-04,      1.02,      0.98,      0.98,      0.99
1939-05,      0.98,      0.97,      0.98,      0.99
1939-06,      0.98,      0.99,      1.00,      1.02
1939-07,      1.03,      1.03,      1.04,      1.04
1939-08,      1.05,      1.04,      1.05,      1.04
1939-09,      1.04,      1.03,      1.03,      1.02
1939-10,      1.00,      1.00,      0.99,      0.99
1939-11,      0.98,      0.98,      0.97,      0.97
1939-12,      0.96,      0.99,      1.02,      1.06
1940-01,      1.23,      1.56,      1.68,      1.67
1940-02,      1.78,      1.83,      1.74,      1.66
1940-03,      1.60,      1.49,      1.33,      1.13
1940-04,      1.02,      0.98,      0.98,      0.99
1940-05,      0.98,      0.97,      0.98,      0.99
1940-06,      0.98,      0.99,      1.00,      1.02
1940-07,      1.03,      1.03,      1.04,      1.04
1940-08,      1.05,      1.04,      1.05,      1.04
1940-09,      1.04,      1.03,      1.03,      1.02
1940-10,      1.00,      1.00,      0.99,      0.99
1940-11,      0.98,      0.98,      0.97,      0.97
1940-12,      0.96,      0.99,      1.02,      1.06
1941-01,      1.23,      1.56,      1.68,      1.67
1941-02,      1.78,      1.83,      1.74,      1.66
1941-03,      1.60,      1.49,      1.33,      1.13
1941-04,      1.02,      0.98,      0.98,      0.99
1941-05,      0.98,      0.97,      0.98,      0.99
1941-06,      0.98,      0.99,      1.00,      1.02
1941-07,      1.03,      1.03,      1.04,      1.04
1941-08,      1.05,      1.04,      1.05,      1.04
1941-09,      1.04,      1.03,      1.03,      1.02
1941-10,      1.00,      1.00,      0.99,      0.99
1941-11,      0.98,      0.98,      0.97,      0.97
1941-12,      0.96,      0.99,      1.02,      1.06
1942-01,      1.23,      1.56,      1.68,      1.67
1942-02,      1.78,      1.83,      1.74,      1.66
1942-03,      1.60,      1.49,      1.33,      1.13
1942-04,      1.02,      0.98,      0.98,      0.99
1942-05,      0.98,      0.97,      0.98,      0.99
1942-06,      0.98,      0.99,      1.00,      1.02
1942-07,      1.03,      1.03,      1.04,      1.04
1942-08,      1.05,      1.04,      1.05,      1.04
1942-09,      1.04,      1.03,      1.03,      1.02
1942-10,      1.00,      1.00,      0.99,      0.99
1942-11,      0.98,      0.98,      0.97,      0.97
1942-12,      0.96,      0.99,      1.02,      1.06
1943-01,      1.23,      1.56,      1.68,      1.67
1943-02,      1.78,      1.83,      1.74,      1.66
1943-03,      1.60,      1.49,      1.33,      1.13
1943-04,      1.02,      0.98,      0.98,      0.99
1943-05,      0.98,      0.97,      0.98,      0.99
1943-06,      0.98,      0.99,      1.00,      1.02
1943-07,      1.03,      1.03,      1.04,      1.04
1943-08,      1.05,      1.04,      1.05,      1.04
1943-09,      1.04,      1.03,      1.03,      1.02
1943-10,      1.00,      1.00,      0.99,      0.99
1943-11,      0.98,      0.98,      0.97,      0.97
1943-12,      0.96,      0.99,      1.02,      1.06
1944-01,      1.23,      1.56,      1.68,      1.67
1944-02,      1.78,      1.83,      1.74,      1.66
1944-03,      1.60,      1.49,      1.33,      1.13
1944-04,      1.02,      0.98,      0.98,      0.99
1944-05,      0.98,      0.97,      0.98,      0.99
1944-06,      0.98,      0.99,      1.00,      1.02
1944-07,      1.03,      1.03,      1.04,      1.04
1944-08,      1.05,      1.04,      1.05,      1.04
1944-09,      1.04,      1.03,      1.03,      1.02
1944-10,      1.00,      1.00,      0.99,      0.99
1944-11,      0.98,      0.98,      0.97,      0.97
1944-12,      0.96,      0.99,      1.02,      1.06
1945-01,      1.23,      1.56,      1.68,      1.67
1945-02,      1.78,      1.83,      1.74,      1.66
1945-03,      1.60,      1.49,      1.33,      1.13
1945-04,      1.02,      0.98,      0.98,      0.99
1945-05,      0.98,      0.97,      0.98,      0.99
1945-06,      0.98,      0.99,      1.00,      1.02
1945-07,      1.03,      1.03,      1.04,      1.04
1945-08,      1.05,      1.04,      1.05,      1.04
1945-09,      1.04,      1.03,      1.03,      1.02
1945-10,      1.00,      1.00,      0.99,      0.99
1945-11,      0.98,      0.98,      0.97,      0.97
1945-12,      0.96,      0.99,      1.02,      1.06
1946-01,      1.23,      1.56,      1.68,      1.67
